Name,Address,P.O.Box,Phone,Mobile,Email,Webpage,Fax,Country
A. J. Wild Institute of Advanced Studies,Maharajgunj,,"4428197,4413137",,info@ajw.com.np,www.ajw.com.np,,
A.J. World Wide Institute,Maharajgunj,,"4410245,4418238",,,,,
Aadarsha Kanya Campus,MangalBazar,,5521488,,,,,
Aberdeen Int'l College,"Taadhokha,Jawalakhel,Lalitpur",,"5536298,5530889,9841203169",,dipankarshakya@hotmail.com,,,
Aberdeen Int'l College,Jawalakhel,,"5536298,5530889",,,,,
Aberdeen International Education Foundation,Jawalakhel,,"5536298,5530889",,aberdeen_aief@yahoo.com,,,
Aberdeen International Educationa,"Jawalakhel,Lalitpur",,"5536298,5530889",,aberdeen.aief@gmail.com,www.aberdeen.edu.np,,
Academy of Audio-Visual Arts &Science,Tripureshwor,,"4265718,4256522",,,,,
Academy Of Information Technology Pvt. Ltd. (AIT),Kamalpokhari,,4412929,,,,,
Academy of Information Technology Pvt. Ltd. (AIT),Kamalpokhari,,"4412929,4420038",,info@informatics.edu.np,,,
"Academy of Professional Studies Pvt. Ltd,",Anamnagar,,"9851116929,16600166002",,info@apsnepal.com,www.apsnepal.com,,
Ace Institute of Management,Sinamangal,"10001,Ktm","4110795,4110743,4110697",,aim@aim.edu.np,www.aim.edu.np,4499817,
Ace Institute of Management,NewBaneshwor,,"4469019,4474712",,ace@ace.edu.np,www.ace.edu.np,,
Achham Campus,Mangalsen,,097-620134,,,,,
Acme Engineering College,Sitapaila,"8849,Ktm","4282962,4280445",,acme@acme.edu.np,www.acme.edu.np,4282946,
Active Academy College,Basundhara,,4356400,,active@gmail.com,,,
Adarsha Kanya Niketan,MangalBazar,,5521488,,,,,
Adarsha Multiple Campus,"Sanothimi,Bhaktapur",,6633667,,,,,
Adikabi Bhanu Bhakta Campus,Damauli,,065-560096,,,,,
Advanced Academy,Kopundole,,5528307,,,www.advancedacademy.edu.np,,
Advanced College of Engineering & Management,Kupondole,8975EPC1866,"5522852,5528397",,info@acem.edu.np,www.acem.edu.np,5550602,
Agriculture Campus,Tripureshwor,,4261313,,,,,
Aims International College,Lagankhel,,"5521482,5535438",,,,,
AJW Institute Of Advanced Studies,"Panipokhari,Maharajgunj",,"4428197,6207595,4413137",,,www.ajw.com.np,=977-1-4002547,
All Nepal Institute Of Medical  Science,Chabahil,,4811030,,,,,
Alliance Academy,NewBaneshwor,,"4493198,4491439",,,,,
Ambition Academy,OldBaneshwor,10743,"4463079,4470880",,info@ambition.edu.np,www.ambition.edu.np,,
Amity College,"Birtamod,Jhapa",,023-541269,,,,,
Amrit Science Campus,Lainchour,,4410408,,,,,
Anmol Institute of Medical Studies,NarayanGopalChowk,,"4720642,4720929",,aims.np@gmail.com,www.aimsnepal.edu.np,4720642,
Annapurna College,"Jyatha,Kantipath",,"4249641,4249739",,annaschool@wlink.com.np,,,
Annapurna Technical & Engineering College,Phirke,,522015,,,,,
Apex College,Baneshwor,"19691,Ktm","4467922,4478841",,apex@apexcollege.edu.np,www.apexcollege.edu.np,4467923,
Arniko Intl Academy Higher secondary School,Satdobato,"8975,5641",5529905,,raju@arniko.edu.np,www.arniko.edu.np,,
Arunima College,Boudha,,"4470223,4478574",,arunimacollege@gmail.com,www.arunima.edu.np,,
Arunima College Educational Foundation  (AEF),"Bouddha,Kathmandu",,"4470223,4478754",,keshavjoshi6@hotmail.com,www.arunima.edu.np,,
Arunodaya Academy,Bhagwanpau,,4672362,,info@arunodaya.edu.np,,,
Arunodaya College,Chitwan,,056-529340,,,,,
Aryan School of Management,Midbaneswor,,"4485146,4485148",,info@thearyanschool.edu.np,www.thearyanschool.edu.np,,
Asain Collegs For Advance Studies,Gwarko,,"2230359,5540183",,,,,
ASANN Research Institute International College,"Gairidhara,Kathmandu",5582,"4423022,4420509,4430840",,students@sann.wlink.ciom.np,,977-1-4421803,
Ashirwad College,Samakhushi,,4352589,,ashirwadcollege@hotmail.com,,,
Asian College of Engineering & Management,OldBaneshwor,,4474169,,,,,
Asian College Of Higher Studdies,"Ekantakuna,Jawalakhel",,"5000266,5000156",,info@acm.edu.np,www.acm.edu.np,,
Asian College of Higher Studies,Ekatakuna,8975EPC1060,"5000266,5000156",,info@acm.edu.np,www.acm.edu.np,,
Asian Engineering College (AEC),Shankhamul,,4783350,,,,,
Atlantic Int'l College,Samakhushi,,4388647,,,,,
AU- Nepal Official Representative of University of California,NewBaneshwor,"582,Ktm",4784177,,worldtrade@wlink.com.np,,4784355,
Audio Visual Academyof arts &sciences (AVAAS),Tripureshwor,,"4265718,4256502",,,,,
B. P. Koirala Institute of Health & Science,Dharan,,525555Ext.4009,,bpkihs@bpkihs.edu,,520251,
Baba Academy,Chabahil,,4471631,,babab@mail.com.np,,4474493,
Babai Multiple Campus,Bardia,,084-420129,,,,,
Badamalika Campus,Bajura,,097-540335,,,,,
Bageshwori Campus,Nepalgunj,,540086,,,,,
Bagmati Modern College,Sukedhara,,"4374881,4374887,4372218",,,,,
Balaju School of Engineering & Technology,Balaju,"4897,ktm","4350228,4350213",,info@bset.org.np,www.bset.org.np,4350214,
Balkumari College,Narayanghat,,"524842,521842",,bkc_rd@hotmail.com,www.balkumaricollege.edu.np,524700,
Balkumari College,Narayangarh,,056521842,9845566344,info@balkumaricollege.edu.np,www.balkumaricollege.edu.np/,056524700,Nepal
Balkumari Mulitple Campus,Narayangadh,,056-521842,,,,,
Balmiki Vidhyapith,ExhibitionRoad,,"4227193,4227676",,,,,
Baneshwor Campus,Shantinagar,"11570,Ktm","4620310,4620332",,baneshworcampus2047@yahoo.com,www.baneshworcampus.edu.np,,
Barun Campus,"Khandbari,Sankhuwasabha",,029-560195,,,,,
BCB College,Duwakot,,6612809,,,,,
BDS Higher Secondary School,Gwarko,,"5546744,5542642,5535644",,bdsschool@wlink.com.np,,,
Bern hardt College,BalkhuChowk,,"4672506,4672507",,bernhardt@wlink.com.np,,,
Bhadraghale Multiple College,Baneshwor,,"4479768,9841311055",,,,,
Bhagyodaya Campus,Sankhu,,4450769,,,,,
Bhairahawa Campus,ShantiNagar,,520205,,,,,
Bhairawa Medical College,Bhairawa,,"522896,522938,523230",,,,,
Bhaktapur Multiple Campus,Bhaktapur,,"6610200,6613199",,,,,
Bhanu Sanskrit Vidhyapeeth,Tanahu,,065-529334,,,,,
Bhojpur Campus,Bhojpur,,029-420106,,,,,
Bhrispati College,Siddharthanagar,,"522944,546479",,,,524540,
Bill Gates Faculty of Information Technology,KediaSewaGram,"20,Birgunj","528793,522092",,kedia@atcnet.com.np,,522086,
Binayak College Of Health Science,Gaushala,,4482519,,,,,
Binayak Nursing College,Gaushala,,4470906,,,,,
Bindabasini Sanskrit Vidhyapeeth,Pokhara,,523352,,,,,
Binisha School Of Interior & Design,Anamangar,,4256040,,,,,
"Biomedical Engineering & Applied Sciences,",Hadigau,,4441467,,info@biomodical.edu.np,,4437822,
Bir Hospital Nursing Campus,Kathmandu,,"4220105,4230761",,birnursing_nams@yahoo.com,,,
Birat Science Campus,RoadsheshChowk,"218,Biratnagar",521278,,,,,
Birendra Institute Of Inte'l Studies,Jhamsikhel,,5522571,,,,,
Birendra Memorial College,Dharan-4,,527320,,bmc_science@yahoo.com,www.geocities.com/bmc_science,,
