Name,Address,P.O.Box,Phone,Mobile,Email,Webpage,Fax,Country,City
A. I. Secondary School,Satungal,,4310618,,,www.ai.nepal-schools.com,,,
A. J. Secondary School,Suryavinayak,,6614045,,,,,,
A. J. Wild Institute of Advanced Studies,Maharajgunj,,"4428197,4413137",,info@ajw.com.np,www.ajw.com.np,,,
Aakash Deep Eng. School,Jorpati,,4910797,,,,,,
Aakriti English Boarding School,Koteshwor,,4478790,,,,,,
Abenisher Boarding School,Butwal,,540397,,,,,,
Aberdeen International Education Foundation,Jawalakhel,,"5536298,5530889",,aberdeen_aief@yahoo.com,,,,
Abhishek Gyanmandir,Kapan-3,,4810055,,,,,,
Abhiyan Public School,Balaju,,2170182,,abhiyanph@gmail.com,,,,
Academy Boarding High School,Maharajgunj,,"4720191,4370619",,,,,,
Academy Boarding School,Basundhara,,4362871,,,,,,
Academy of Sacred Hearts,"SwoyambhuMarg,Chhetrapati","2295,Ktm","4263048,4265954",,,,,,
Achiever's Higher Secondary School,Rupandehi,,560630,,,,,,
Achme Academy,Bhimsengola,"21880,Ktm",4487485,,theachme@enet.com.np,,4487485,,
Acme Engineering College,Sitapaila,"8849,Ktm","4282962,4280445",,acme@acme.edu.np,www.acme.edu.np,4282946,,
Active Academy Higher Secondary School,Basundhara,,4386659,,active@gmail.com,,,,
Active Ideal English School,Kathmandu,,4770551,,,,,,
Acton Pre-Primary School,Kuleshwor,"13709,Ktm","4280569,4278286",,actonpreschool@hotmail.com,,4280293,,
Acton Pre-primary School,Kuleshwor,13709,"4280569,428286",,actonpreschool@hotmail.com,,4280293,,
Adarsh Ajada Higher Secondary School,AdarshChowk,,6610580,,,,,,
Adarsh Janapremee English Higher Secondary School,Kausaltar,,"6630967,6914696",,,,,,
Adarsh Kalika Byawasayik Madyamik,SahidMaidan,,522647,,,,,,
Adarsh Sishu Shiksha Nikunj Boarding,MalayaRoad,,521575,,,,,,
Adarsha Bal Higher Secondary School,"Beretar,Lamjung",,066-529311,,,,,,
Adarsha English Boarding High School,Syangja,,063-460165,,,,,,
Adarsha English Boarding High School,Kumaripati,"13302,Ktm","9721386775,9841396848",,adarsha_school@hotmail.com,,,,
Adarsha English Secondary Boarding School,Parbat,,"067-420409,420398",,,,,,
Adarsha Higher Secondary School,"Deurali,Palpa",,075-529399,,,,,,
Adarsha Higher Secondary School,Ilam,,027-520053,,,,,,
Adarsha Higher Secondary School,"Chatara,Sunsari",,521455,,,,,,
Adarsha Higher Secondary School,Nepalgunj,,521506,,,,,,
Adarsha Jyoti English High School,Gundu,,6614045,,,,,,
Adarsha Kanya Niketan Higher Secondary School,MangalBazar,,5521488,,,,,,
Adarsha Madhyamik Bidhyalaya,Bhadrawas,,4450201,,,,,,
Adarsha Saral Secondary School,Nagbahal,,5534539,,adarsha.edu@ntc.net.np,,,,
Adarsha Saula Yobak Secondary School,Bungamati,,"2210203,5590960",,,,,,
Adarsha Vidhya Mandir Higher Secondary School,"Ghailaduwa,Jhapa",,023-520996,,,,,,
Adarsha Vidhyamandir Higher Secondary School,"Ramrekha,Baglung",,068-520272,,,,,,
Adarsha Vidya Mandir (A.V.M.),Manbhawan,,"5521332,5524876,5548014",,avm@info.com.np,www.avm.nepal-schools.com,5524876,,
Adarsha Yog Hari Higher Secondary School,Lainchaur,"1893,Ktm","4413387,4435482",,ayhhss@wlink.com.np,,,,
Adarsharaj Secondary School,Surkhet,,083-521176,,,,,,
Adarshila Academy,Minbhawan,,2101320,,,,,,
Adinath Secondary School,"Chobhar,Kirtipur-14",,4330230,,,,,,
Advance International Model School (AIMS),Prayagpokhari,,"5523560,5521482",,,,,,
Advanced Academy,Kopundole,,5528307,,,www.advancedacademy.edu.np,,,
Advanced College of Engineering & Management,Kupondole,8975EPC1866,"5522852,5528397",,info@acem.edu.np,www.acem.edu.np,5550602,,
Advanced English Boarding School,Hadigaon,,"4438842,4438916",,info@advance.edu.np,www.advanced.edu.np,,,
Adwitiya Boarding High School,Balaju,,4362090,,,,,,
Aims International College,Lagankhel,,"5521482,5535438",,,,,,
Aishworya Vidhya Niketan Higher Secondary School,"Dhangadhi,Kailali",,"091-521079,521072",,,,,,
Ajai Higher Secondary School,Gulmi,,079-529300,,,,,,
Ajay kumar mahato,"Sarlahi,Ishworpur-7Ramnagar",,9844458211,,ajaymahato33361@gmail.com,,,Nepal,
Ajay Sikshya Shadan,Thashikhel,,5541028,,,,,,
Akriti English Boarding School,SubidhaNagar,,4478790,,,,,,
Alakapuri High School,Bishalnagar,,4417246,,,,,,
Albert English Sec. B. School,Maitidevi,,4425936,,albert_maitidevi@yahoo.com,,,,
Albert Eynestine Academy,Handugaun-5,,4436933,,,,,,
Alka Puri H. Sec. School,Bishalnagar,,4417246,,,,,,
Alka School,Gyaneshwor,,"4411271,4429806",,alkaschool@gmail.com,,,,
All Secondary School,Gaurinagar-7,,4476589,,,,,,
Alliance Academy Higher Secondary School,"NewBaneshwor,Thapagaun","4880,Ktm","4493198,4491439,4491598",,info@alliance.edu.np,www.alliance.edu.np,,,
Alliance Academy Higher Secondary School,NewBaneshwor,,"4493198,4491439",,info@alliance.edu.np,,,,
Allide Co. Ed.,Putalisadak-32,,"4436024,4433415",,,,,,
Alok Vidyashram,Gaushala,"806,Ktm","6219909,2080441",,alokvidyashram@gmail.com,www.alokvidyashram.edu.np,4228324,,
Alpha's Secondary Boarding School,Jawalakhel,"347,Ktm",5527802,,,,,,
