Name,Address,City,Country,Phone,P.O.Box,Email,Mobile,Webpage,Fax,Updatedon
Aayaam International College,Kumaripati,Lalitpur,Nepal,"5550778,5537674",,aayaamcollege@gmail.com,,www.aayaamcollege.edu.np,	5552785,2015-10-08
Asian Institute of Technology & Management (AITM),Khumaltar,Lalitpur,Nepal,"5541179,5552376",,enquiries@aitm.edu.np,,www.aitm.edu.np,	5548772,2015-01-07
B & C Medical College & Teaching Hospital & Research Center,Birtamod-5,Jhapa,Nepal,"023-545566,542242",,info.bnchospital@gmail.com,,www.bnchospital.edu.np,,2018-06-13
Birat Health College,Biratnagar,Biratnagar,Nepal,"021-420974,420973","46,Brt",hr@birathealthcollege.edu.np,9842045040,www.birathealthcollege.edu.np,	420975,2009-11-17
Cambridge International Boarding Higher Secondary School,Kalanki-14,Kathmandu,Nepal,"00977-1-5219858,5218003",,cambridge.college.kathmandu@gmail.com,,www.cambridgecollegekalanki.edu.np,,2009-11-07
CG Institute Of Management,Minbhawan,Kathmandu,Nepal,"00977-1-4107101,4107114","4869,Ktm",prashanna.panta@cgim.edu.np,00977-9801200877,www.cgim.edu.np,,2015-03-30
Chitwan Medical College (P) Ltd.,Chitwan,Chitwan,Nepal,"056-532933,592366",,info@cmc.edu.np,,www.cmc.edu.np,	056-592364,2010-12-04
College of Information Technology & Engineering,Tinkune,Kathmandu,Nepal,"00977-1-4111840,4111503","12277,Ktm",info@cit.edu.np,,www.cit.edu.np,	00977-1-4111655,2009-11-07
Devdaha Medical College & Research Institute Pvt. Ltd.,"Bhaluhi,Devdaha-10",Bhairahawa,Nepal,"403001,403002",,info@devdahamedicalcollege.com,9857027097,www.devdahacollege.com,,2009-11-07
Global Village College,Lagankhel,Lalitpur,Nepal,"5522521,5542332",,,,,,2014-12-01
Himalayan White House International College,NewBaneshwor,Kathmandu,Nepal,"00977-1-4466531,4466532","9026,Ktm",whitehouse@mail.com.np,,www.whitehouse.edu.np,	00977-1-4466533,2009-11-07
International College of Hospitality Management,Pingalasthan,Kathmandu,Nepal,"00977-1-4113789,4113790",,ichmnepal@gmail.com,,www.ichm.edu.np,,2010-08-22
International Institute Of Hotel Management,Lagankhel,Lalitpur,Nepal,5532667,,career.iihm@gmail.com,"9841713981,9849422539",www.iihm.edu.np,	5532667,2015-03-30
Kantipur Engineering College,Dhapakhel,Lalitpur,Nepal,"5229204,5229005","8849,Ktm",admin@kec.edu.np,,www.kec.edu.np,	5229274,2009-11-07
Kathford International College of Engineering & Management,Balkumari,Lalitpur,Nepal,"5201899,5201241",,info@kathford.edu.np,,www.kathford.edu.np,	5201899,2009-11-07
Kathmandu Academy of Tourism & Hospitality,"RabiBhawan,Kalimati",Kathmandu,Nepal,"00977-1-4278642,4301204","3310,Ktm",info@kathtourism.edu.np,,www.kathtourism.edu.np,	00977-1-4286394,2009-11-07
Lord Buddha Educational Academy (Nepalgunj Medical College),Putalisadak,Kathmandu,Nepal,"00977-1-4433073,4434908","1011,Ktm",lbeangmc@hotmail.com,,www.ngmc.edu.np,,2009-11-07
Malpi Institute,Baluwatar,Kathmandu,Nepal,"00977-1-4442066,4442067,4442068","8975,EPC4073",mi@mail.com.np,,www.mic.edu.np,	00977-1-4442069,2009-11-07
Nepal Baptist Bible College,Imadole,Lalitpur,Nepal,5201593,8975EPC1051,nbbcnepal@gmail.com,,www.nbccnepal.org,,2012-06-22
People's Dental College & Hospital,Nayabazar,Kathmandu,Nepal,"00977-1-4358937,4359181",,pdch@wlink.com.np,,www.pdch.com.np,	00977-1-4359032,2009-11-07
Platinium Management College,Kalikasthan,Kathmandu,Nepal,"00977-1-4441163,4441167,4441168",,,,,	00977-1-4466795,2011-07-19
Samriddhi College,Lokanthali-16,Bhaktapur,Nepal,"6636322,6636700",,samriddhicollege@gmail.com,,www.samriddhicollege.edu.np,,2015-09-25
Shree Medical & Technical College,HamroChowk,Chitwan,Nepal,056-527897,,admin@shreemedical.edu.np,9845025254,www.shreemedical.edu.np,	523664,2010-01-21
Sirjana College of Fine Arts,Lazimpat,Kathmandu,Nepal,"00977-1-4418455,4430535","10708,Ktm",sirjanacollege@gmail.com,,www.sirjanacollege.edu.np,,2009-11-07
South Asian Institute of Management (SAIM College),OldBaneshwor,Kathmandu,Nepal,"00977-1-4474747,4484832",23955,info@saim.edu.np,,www.saim.edu.np,,2017-02-26
The Times International College,Charkhal,Kathmandu,Nepal,"00977-1-4441163,4441167",,info@timesinternational.com,,www.timescollege.edu.np,	00977-1-4441168,2009-11-07
White House School of Hotel Management,KhumaltarHeight,Lalitpur,Nepal,"5541179,5548772","26314,Ktm",bhm@whitehouse.edu.np,,www.whitehouse.edu.np,	5548772,2012-07-04
Aberdeen International College,Jawalakhel,Lalitpur,Nepal,"5536298,5530889",,,,www.aberdeen.edu.np,,2011-08-22
Academia International College,Bafal,Kathmandu,Nepal,00977-1-4275653,,,,,,2011-08-22
Academy of Information Technology Pvt. Ltd. (AIT),Kamalpokhari,Kathmandu,Nepal,"00977-1-4412929,4420038","9341,Ktm",ait@ntc.net.np,,www.aitnepal.com.np,,2009-11-07
Ace Institute of Management,Sinamangal,Kathmandu,Nepal,"00977-1-4110795,4110743,4110697","10001,Ktm",ace@ace.edu.np,,www.ace.edu.np,	00977-1-4110702,2009-11-07
Achham Campus,Mangalsen,Bajura,Nepal,097-620134,,,,,,2009-11-07
Acme Engineering College,Sitapaila,Kathmandu,Nepal,"00977-1-4282962,4280445,4670924","8849,Ktm",acme@acme.edu.np,,www.acme.edu.np,	00977-1-4282947,2009-11-07
Adarsha Multiple Campus,"Sanothimi,Bhaktapur",Kathmandu,Nepal,00977-1-6633667,,,,,,2009-11-07
Adikabi Bhanu Bhakta Campus,Damauli,Tanahu,Nepal,065-560096,,,,,,2009-11-07
Advance Academy,Kupondole,Lalitpur,Nepal,5528307,,,,,,2009-11-07
Advance College of Engineering & Management,Kupondol,Kathmandu,Nepal,"00977-1-5522852,55228397",,info@acem.edu.np,,www.acem.edu.np,,2017-09-05
Advance Education Foundation Pvt. Ltd.,Kupondole,Lalitpur,Nepal,5528307,,,,,,2011-06-15
Alka Institute of Medical Sciences,Bagdol,Lalitpur,Nepal,5552702,,,,,,2010-08-02
Amity College,Birtamod,Jhapa,Nepal,023-541269,,,,,,2009-11-07
Amrit Science Campus,Lainchour,Kathmandu,Nepal,"00977-1-4411633,4410408",,,,,,2009-11-07
Ananda Vihar Campus,Thaina,Kathmandu,Nepal,00977-1-5530607,,siddharthauniversity@hotmail.com,,,	00977-1-5534967,2009-11-07
Anmol Institute of Medical Studies,Maharajgunj,Kathmandu,Nepal,"00977-1-4720642,4720929",,aims.np@gmail.com,,,	00977-1-4720642,2009-11-07
Annapurna Technical & Engineering College,Phirke,Pokhara,Nepal,061-522015,,,,,,2009-11-07
Anupam College,Lazimpat,Kathmandu,Nepal,00977-1-4434165,,,00977-9851158717,,,2017-09-01
Apex College,Baneshwor,Kathmandu,Nepal,"00977-1-4467922,4478841","19691,Ktm",apex@apexcollege.edu.np,,www.apexcollege.edu.np,	00977-1-4467923,2009-11-07
Apollo International College,NewBaneshwor,Kathmandu,Nepal,"00977-1-4474845,4474851",,info@apollointcollege.com,,www.apollointlcollege.edu.np,,2010-11-28
Arunodaya College,Chitwan,Chitwan,Nepal,056-529340,,,,,,2009-11-07
Aryan School of Engineering,MidBaneshwor,Kathmandu,Nepal,"00977-1-4485146,4485148,2104223",21466,info@thearyanschool.edu.np,,,	00977-1-4485148,2010-10-29
Ashirbad College,Samakhushi,Kathmandu,Nepal,"00977-1-4356231,4352589",,,,,,2009-11-07
Asian College For Advanced Studies (ACAS),Satdobato,Lalitpur,Nepal,"5540183,2230359","24122,Ltp",info@acas.edu.np,,www.acas.edu.np,,2009-11-07
Asian College of Engineering & Management,OldBaneshwor,Kathmandu,Nepal,"00977-1-4472608,4474169","19719,Ktm",ascem@wlink.com.np,,,,2009-11-07
Asian College of Higher Studies,Putalisadak,Kathmandu,Nepal,"00977-1-4436383,4438566",,info@achsnepal.com,,info@achsnepal.com,,2015-09-23
Asian College of Management & Technology,Gongabu,Kathmandu,Nepal,00977-1-6204668,,info@asm.edu.np,,www.asm.edu.np,,2010-09-27
Asian Engineering College (AEC),Shankhamul,Kathmandu,Nepal,"00977-1-4783350,4783981","11474,Ktm",info@asian.edu.np,,www.asian.edu.np,,2009-11-07
Asian School of Management,SamakhushiBridge,Kathmandu,Nepal,00977-1-6204668,,info@asm.edu.np,,www.asm.edu.np,,2011-10-18
